state,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AL,1474338163.9,1275308173.97,1080885648.46
AK,-143744.57,386417.0,0.0
AZ,7380297.9,30317002.78,19770492.01
AR,0.0,0.0,0.0
CA,785241837.34,711901464.47,633967529.4
CO,661596392.25,558351134.1,614477223.61
CT,10082247.53,3991893.59,2533502.64
DE,6907408.8,7370639.63,3524038.25
FL,655939071.55,493161707.66,377721625.73
GA,1066186.85,2227387.54,1470244.74
HI,1233062.48,0.0,13000.0
ID,107377.56,63691.0,107377.56
IL,1836530.52,466978.06,878845.28
IN,15807929.28,148157281.64,108851294.14
IA,732366.63,307141.0,2489034.18
KS,9723358.69,18356457.3,12838050.93
KY,479607.0,370414.97,10731984.28
LA,7269209.0,7380472.11,72807.73
ME,400000.0,3448495.03,2229548.54
MD,1218550805.61,1403919486.02,1148391883.43
MA,10520333.99,8480400.9,7236050.0
MI,3553893.25,3357331.45,1089314.6
MN,824783.23,751969.75,1287306.99
MS,234127456.55,227506358.99,201692330.9
MO,1196036.38,1013467.19,59505.37
MT,59335.44,7097326.12,7314726.67
NE,129079.66,644193.0,774256.0
NV,2388932.18,606043.7,533153.77
NH,3415073.5,7523599.55,4809496.92
NJ,3956000.7,8263695.4,8981457.29
NM,4217113.71,5094135.32,3946467.52
NY,13389399.56,23313832.93,20156583.3
NC,3823673.12,4945256.0,2661807.4
ND,1389324.0,1010383.0,920000.0
OH,139703784.18,88457567.67,82670566.79
OK,8849236.0,-17431.78,76523.06
OR,1251592.71,1328226.22,2537508.61
PA,8864155.9,20885080.0,19492029.96
RI,215186.15,303583.75,150874.7
SC,132370.0,260325.0,279430.0
SD,-20694.0,217550.54,53140.0
TN,20101012.64,28355871.08,27542886.24
TX,855302505.03,962460732.45,1021054506.75
UT,2115720.74,1837847.21,502716.02
VT,261656.0,150361.72,71050.67
VA,600390575.11,685570064.19,722703254.41
WA,707650.92,515848.59,1134171.36
WV,47114599.4,41779106.36,40627898.28
WI,398480.98,748015.53,433742.88
WY,0.0,82300.0,0.0
